confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,LATIN_2-1-1,{},False,,Ego,191353,170957
,,,,LATIN_2-2-1,{},False,,tu,191354,170958
,,,,LATIN_2-3-1,{},False,,nos,191355,170959
,,,,LATIN_2-4-1,{},False,,hok,191356,170960
,,,,LATIN_2-5-1,{},False,,id,191357,170961
,,,,LATIN_2-6-1,{},False,,kwi,191358,170962
,,,,LATIN_2-7-1,{},False,,kwi,191359,170963
,,,,LATIN_2-8-1,{},False,,non,191360,170964
,,,,LATIN_2-9-1,{},False,,omnia,191361,170965
,,,,LATIN_2-11-1,{},False,,unu,191362,170966
,,,,LATIN_2-12-1,{},False,,duo,191363,170967
,,,,LATIN_2-13-1,{},False,,maNnu,191364,170968
,,,,LATIN_2-14-1,{},False,,LoNgw,191365,170969
,,,,LATIN_2-15-1,{},False,,parwu,191366,170970
,,,,LATIN_2-16-1,{},False,,muLiEr,191367,170971
,,,,LATIN_2-17-1,{},False,,wir,191368,170972
,,,,LATIN_2-18-1,{},False,,homine,191369,170973
,,,,LATIN_2-19-1,{},False,,piski,191370,170974
,,,,LATIN_2-20-1,{},False,,awi,191371,170975
,,,,LATIN_2-21-1,{},False,,cani,191372,170976
,,,,LATIN_2-22-1,{},False,,pEdikuLus,191373,170977
,,,,LATIN_2-23-1,{},False,,arbor,191374,170978
,,,,LATIN_2-24-1,{},False,,sEgEs,191375,170979
,,,,LATIN_2-25-1,{},False,,foLiu,191376,170980
,,,,LATIN_2-26-1,{},False,,radik,191377,170981
,,,,LATIN_2-27-1,{},False,,kortike,191378,170982
,,,,LATIN_2-28-1,{},False,,kuti,191379,170983
,,,,LATIN_2-28-2,{},False,,pEllis,191380,170983
,,,,LATIN_2-29-1,{},False,,karo,191381,170984
,,,,LATIN_2-30-1,{},False,,saNgwi,191382,170985
,,,,LATIN_2-31-1,{},False,,os,191383,170986
,,,,LATIN_2-32-1,{},False,,piNgwe,191384,170987
,,,,LATIN_2-33-1,{},False,,owu,191385,170988
,,,,LATIN_2-34-1,{},False,,kornu,191386,170989
,,,,LATIN_2-35-1,{},False,,kauda,191387,170990
,,,,LATIN_2-36-1,{},False,,pEnna,191388,170991
,,,,LATIN_2-37-1,{},False,,kapillu,191389,170992
,,,,LATIN_2-38-1,{},False,,kapite,191390,170993
,,,,LATIN_2-39-1,{},False,,auri,191391,170994
,,,,LATIN_2-40-1,{},False,,okuLu,191392,170995
,,,,LATIN_2-41-1,{},False,,nasu,191393,170996
,,,,LATIN_2-42-1,{},False,,os,191394,170997
,,,,LATIN_2-43-1,{},False,,dete,191395,170998
,,,,LATIN_2-44-1,{},False,,LiNgwa,191396,170999
,,,,LATIN_2-45-1,{},False,,uNgwikuLu,191397,171000
,,,,LATIN_2-46-1,{},False,,pede,191398,171001
,,,,LATIN_2-47-1,{},False,,gEnu,191399,171002
,,,,LATIN_2-48-1,{},False,,manu,191400,171003
,,,,LATIN_2-49-1,{},False,,wEntEr,191401,171004
,,,,LATIN_2-50-1,{},False,,kollu,191402,171005
,,,,LATIN_2-51-1,{},False,,sinu,191403,171006
,,,,LATIN_2-52-1,{},False,,korde,191404,171007
,,,,LATIN_2-52-2,{},False,,animu,191405,171007
,,,,LATIN_2-53-1,{},False,,iEkur,191406,171008
,,,,LATIN_2-54-1,{},False,,bibErE,191407,171009
,,,,LATIN_2-55-1,{},False,,EdErE,191408,171010
,,,,LATIN_2-56-1,{},False,,morderE,191409,171011
,,,,LATIN_2-57-1,{},False,,widerE,191410,171012
,,,,LATIN_2-58-1,{},False,,audirE,191411,171013
,,,,LATIN_2-59-1,{},False,,skirE,191412,171014
,,,,LATIN_2-60-1,{},False,,dormirE,191413,171015
,,,,LATIN_2-61-1,{},False,,mori,191414,171016
,,,,LATIN_2-62-1,{},False,,nEkarE,191415,171017
,,,,LATIN_2-62-2,{},False,,kaEdErE,191416,171017
,,,,LATIN_2-63-1,{},False,,narE,191417,171018
,,,,LATIN_2-63-2,{},False,,natarE,191418,171018
,,,,LATIN_2-64-1,{},False,,woLarE,191419,171019
,,,,LATIN_2-65-1,{},False,,wadErE,191420,171020
,,,,LATIN_2-66-1,{},False,,wEnirE,191421,171021
,,,,LATIN_2-67-1,{},False,,iakerE,191422,171022
,,,,LATIN_2-68-1,{},False,,sEderE,191423,171023
,,,,LATIN_2-69-1,{},False,,starE,191424,171024
,,,,LATIN_2-70-1,{},False,,darE,191425,171025
,,,,LATIN_2-71-1,{},False,,dikErE,191426,171026
,,,,LATIN_2-72-1,{},False,,soL,191427,171027
,,,,LATIN_2-73-1,{},False,,Luna,191428,171028
,,,,LATIN_2-74-1,{},False,,sidere,191429,171029
,,,,LATIN_2-74-2,{},False,,stella,191430,171029
,,,,LATIN_2-75-1,{},False,,akwa,191431,171030
,,,,LATIN_2-76-1,{},False,,imbEr,191432,171031
,,,,LATIN_2-76-2,{},False,,pLuwia,191433,171031
,,,,LATIN_2-77-1,{},False,,Lapide,191434,171032
,,,,LATIN_2-78-1,{},False,,arena,191435,171033
,,,,LATIN_2-79-1,{},False,,tErra,191436,171034
,,,,LATIN_2-80-1,{},False,,nube,191437,171035
,,,,LATIN_2-81-1,{},False,,fumu,191438,171036
,,,,LATIN_2-82-1,{},False,,iNni,191439,171037
,,,,LATIN_2-83-1,{},False,,kini,191440,171038
,,,,LATIN_2-84-1,{},False,,arderE,191441,171039
,,,,LATIN_2-85-1,{},False,,semita,191442,171040
,,,,LATIN_2-86-1,{},False,,mos,191443,171041
,,,,LATIN_2-87-1,{},False,,rubEr,191444,171042
,,,,LATIN_2-88-1,{},False,,wiridi,191445,171043
,,,,LATIN_2-89-1,{},False,,fLawu,191446,171044
,,,,LATIN_2-90-1,{},False,,aLbu,191447,171045
,,,,LATIN_2-91-1,{},False,,nigEr,191448,171046
,,,,LATIN_2-92-1,{},False,,nokte,191449,171047
,,,,LATIN_2-93-1,{},False,,kaLidu,191450,171048
,,,,LATIN_2-94-1,{},False,,frigidu,191451,171049
,,,,LATIN_2-95-1,{},False,,pLenu,191452,171050
,,,,LATIN_2-96-1,{},False,,nowu,191453,171051
,,,,LATIN_2-97-1,{},False,,bonu,191454,171052
,,,,LATIN_2-98-1,{},False,,rotundu,191455,171053
,,,,LATIN_2-99-1,{},False,,aridu,191456,171054
,,,,LATIN_2-100-1,{},False,,nomEn,191457,171055
